"","x"
"nobs",997
"NAs",0
"Minimum",-36.635772
"Maximum",72.305526
"1. Quartile",-3.236161
"3. Quartile",3.282294
"Mean",0.517811
"Median",-0.319489
"Sum",516.257253
"SE Mean",0.283492
"LCL Mean",-0.0385
"UCL Mean",1.074121
"Variance",80.126669
"Stdev",8.95135
"Skewness",2.02073
"Kurtosis",14.153999
