"","RUT.Open","RUT.High","RUT.Low","RUT.Close","RUT.Volume","RUT.Adjusted"
"2015-08-07",1209.47998,1211.930054,1200.410034,1206.900024,36023200,1206.900024
"2015-08-10",1212.420044,1223.390015,1212.420044,1222.670044,35144600,1222.670044
"2015-08-11",1214.140015,1218.670044,1205.869995,1211.140015,37088800,1211.140015
"2015-08-12",1203.170044,1210.97998,1189.420044,1208.97998,42691300,1208.97998
"2015-08-13",1208.569946,1213.410034,1203.640015,1204.73999,32213000,1204.73999
"2015-08-14",1202.109985,1212.790039,1199.459961,1212.689941,27955900,1212.689941
"2015-08-17",1209.23999,1225.089966,1206.400024,1225.089966,28676900,1225.089966
"2015-08-18",1224.079956,1224.119995,1214.26001,1214.890015,29499900,1214.890015
"2015-08-19",1208.550049,1211.680054,1196.660034,1202.97998,35129200,1202.97998
"2015-08-20",1193.900024,1193.930054,1172.52002,1172.52002,39224700,1172.52002
"2015-08-21",1158,1172.76001,1152.369995,1156.790039,50182400,1156.790039
"2015-08-24",1119.76001,1148.579956,1105.930054,1111.689941,66126900,1111.689941
"2015-08-25",1133.130005,1133.150024,1104.050049,1104.099976,51835600,1104.099976
"2015-08-26",1119.280029,1132.630005,1102.579956,1132.189941,53382500,1132.189941
"2015-08-27",1140.920044,1157.900024,1133.77002,1153.609985,49763900,1153.609985
"2015-08-28",1149.550049,1163.050049,1149.469971,1162.910034,39490800,1162.910034
"2015-08-31",1161.01001,1164.890015,1156.369995,1159.449951,39151000,1159.449951
"2015-09-01",1148.310059,1151.530029,1124.459961,1128.050049,43718500,1128.050049
"2015-09-02",1128.050049,1146.030029,1128.050049,1146.030029,37426200,1146.030029
"2015-09-03",1148.619995,1157.630005,1143.790039,1145.150024,35207000,1145.150024
"2015-09-04",1132.949951,1142.550049,1130.75,1136.170044,31670900,1136.170044
"2015-09-08",1139.069946,1162.449951,1139.069946,1161.76001,35486500,1161.76001
"2015-09-09",1162.719971,1170.199951,1147.329956,1148.22998,36521200,1148.22998
"2015-09-10",1147.98999,1158.26001,1146.469971,1153.030029,36263200,1153.030029
"2015-09-11",1152.51001,1157.910034,1143.72998,1157.790039,32185900,1157.790039
"2015-09-14",1158.030029,1159.170044,1151.310059,1153.5,30002000,1153.5
"2015-09-15",1153.930054,1167.280029,1153.930054,1166,32398600,1166
"2015-09-16",1166.170044,1175.890015,1165.410034,1175.199951,36306800,1175.199951
"2015-09-17",1175.089966,1193.98999,1173.699951,1180.689941,41837900,1180.689941
"2015-09-18",1175.339966,1175.339966,1160.660034,1163.349976,60002400,1163.349976
"2015-09-21",1165.040039,1177.959961,1158.099976,1161.089966,32593500,1161.089966
"2015-09-22",1158.420044,1158.420044,1137.699951,1143.030029,38082600,1143.030029
"2015-09-23",1143.410034,1149.219971,1137.410034,1140.050049,31905300,1140.050049
"2015-09-24",1137.880005,1138.959961,1124.75,1137.540039,40915300,1137.540039
"2015-09-25",1140.23999,1146.719971,1119.300049,1122.790039,37218700,1122.790039
"2015-09-28",1121.869995,1121.869995,1087.469971,1090.569946,43266600,1090.569946
"2015-09-29",1090.949951,1098.02002,1078.630005,1083.910034,41323900,1083.910034
"2015-09-30",1087.079956,1101.930054,1087.079956,1100.689941,45250700,1100.689941
