"","x"
"nobs",997
"NAs",0
"Minimum",-61.627274
"Maximum",102.735576
"1. Quartile",-2.03814
"3. Quartile",1.857551
"Mean",0.464662
"Median",-0.356103
"Sum",463.268082
"SE Mean",0.253061
"LCL Mean",-0.031932
"UCL Mean",0.961256
"Variance",63.84787
"Stdev",7.990486
"Skewness",3.045664
"Kurtosis",37.955838
