"","x"
"nobs",997
"NAs",0
"Minimum",-20.752981
"Maximum",22.5119
"1. Quartile",-0.914539
"3. Quartile",1.955353
"Mean",0.350859
"Median",0.326592
"Sum",349.806821
"SE Mean",0.131253
"LCL Mean",0.093296
"UCL Mean",0.608423
"Variance",17.175546
"Stdev",4.144339
"Skewness",-0.26547
"Kurtosis",4.770842
