"","x"
"nobs",997
"NAs",0
"Minimum",-29.317634
"Maximum",58.463706
"1. Quartile",-2.808534
"3. Quartile",4.082199
"Mean",0.580627
"Median",0
"Sum",578.884933
"SE Mean",0.23654
"LCL Mean",0.116453
"UCL Mean",1.044801
"Variance",55.783321
"Stdev",7.468823
"Skewness",1.06329
"Kurtosis",7.046561
