"","x"
"nobs",997
"NAs",0
"Minimum",-130.210586
"Maximum",41.233727
"1. Quartile",-2.690097
"3. Quartile",3.548575
"Mean",0.550483
"Median",-0.040251
"Sum",548.831098
"SE Mean",0.263283
"LCL Mean",0.033829
"UCL Mean",1.067136
"Variance",69.110172
"Stdev",8.313253
"Skewness",-3.532563
"Kurtosis",62.561086
